id,vendor_id,api_id,slug,display_name,display_order,description,capabilities,context_length,price_prompt_micro,price_completion_micro,price_tier,fallback_model_id,is_active,last_synced_at,created_at,updated_at,parameter_count_b,personality_traits,professional_traits,best_for
1,6,bytedance-seed/seed-1.6-flash,seed-1.6-flash,Seed 1.6 Flash,0,"Seed 1.6 Flash is an ultra-fast multimodal deep thinking model by ByteDance Seed, supporting both text and visual understanding.","[""tools"",""tool_choice"",""reasoning""]",262144,75000,300000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:30.34244+00,,,,
2,6,bytedance-seed/seed-1.6,seed-1.6,Seed 1.6,10,Seed 1.6 is a general-purpose model released by the ByteDance Seed team.,"[""tools"",""tool_choice"",""reasoning""]",262144,250000,2000000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:26.694495+00,,,,
3,17,minimax/minimax-m2.1,minimax-m2.1,MiniMax M2.1,0,"MiniMax-M2.1 is a lightweight, state-of-the-art large language model optimized for coding, agentic workflows, and modern application development.","[""tools"",""tool_choice"",""reasoning""]",196608,120000,480000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:24.315086+00,,,,
4,17,minimax/minimax-m2,minimax-m2,MiniMax M2,10,"MiniMax-M2 is a compact, high-efficiency large language model optimized for end-to-end coding and agentic workflows.","[""tools"",""tool_choice"",""reasoning""]",196608,200000,1000000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:20.206819+00,,,,
5,36,z-ai/glm-4.7,glm-4.7,GLM 4.7,0,"GLM-4.7 is Z.AI’s latest flagship model, featuring upgrades in two key areas: enhanced programming capabilities and more stable multi-step reasoning/execution.","[""tools"",""tool_choice"",""reasoning""]",202752,160000,800000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:16.814568+00,,,,
6,36,z-ai/glm-4.6v,glm-4.6v,GLM 4.6V,10,"GLM-4.6V is a large multimodal model designed for high-fidelity visual understanding and long-context reasoning across images, documents, and mixed media.","[""tools"",""tool_choice"",""reasoning""]",131072,300000,900000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:14.45128+00,,,,
7,36,z-ai/glm-4.6,glm-4.6,GLM 4.6,20,"Compared with GLM-4.5, this generation brings several key improvements:

Longer context window: The context window has been expanded from 128K to 200K tokens, enabling the model to handle more complex agentic tasks.
Superior coding performance: The model achieves higher scores on code benchmarks and demonstrates better real-world performance in applications such as Claude Code、Cline、Roo Code and Kilo Code, including improvements in generating visually polished front-end pages.
Advanced reason...","[""tools"",""tool_choice"",""reasoning""]",202752,350000,1500000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:11.168437+00,,,,
8,36,z-ai/glm-4.6:exacto,glm-4.6:exacto,GLM 4.6 (exacto),30,"Compared with GLM-4.5, this generation brings several key improvements:

Longer context window: The context window has been expanded from 128K to 200K tokens, enabling the model to handle more complex agentic tasks.
Superior coding performance: The model achieves higher scores on code benchmarks and demonstrates better real-world performance in applications such as Claude Code、Cline、Roo Code and Kilo Code, including improvements in generating visually polished front-end pages.
Advanced reason...","[""tools"",""tool_choice"",""reasoning""]",204800,440000,1760000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:08.581677+00,,,,
9,36,z-ai/glm-4.5v,glm-4.5v,GLM 4.5V,40,GLM-4.5V is a vision-language foundation model for multimodal agent applications.,"[""tools"",""tool_choice"",""reasoning""]",65536,600000,1800000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:05.855351+00,,,,
10,36,z-ai/glm-4.5,glm-4.5,GLM 4.5,50,"GLM-4.5 is our latest flagship foundation model, purpose-built for agent-based applications.","[""tools"",""tool_choice"",""reasoning""]",131072,350000,1550000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 08:00:02.401779+00,,,,
11,36,z-ai/glm-4.5-air,glm-4.5-air,GLM 4.5 Air,60,"GLM-4.5-Air is the lightweight variant of our latest flagship model family, also purpose-built for agent-centric applications.","[""tools"",""tool_choice"",""reasoning""]",131072,50000,220000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:55.890166+00,,,,
12,11,google/gemini-3-flash-preview,gemini-3-flash-preview,Gemini 3 Flash Preview,0,"Gemini 3 Flash Preview is a high speed, high value thinking model designed for agentic workflows, multi turn chat, and coding assistance.","[""tools"",""tool_choice"",""reasoning""]",1048576,500000,3000000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:51.212219+00,,,,
14,11,google/gemini-3-pro-preview,gemini-3-pro-preview,Gemini 3 Pro Preview,20,"Gemini 3 Pro is Google’s flagship frontier model for high-precision multimodal reasoning, combining strong performance across text, image, video, audio, and code with a 1M-token context window.","[""tools"",""tool_choice"",""reasoning""]",1048576,2000000,12000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:46.956928+00,,,,
16,11,google/gemini-2.5-flash-preview-09-2025,gemini-2.5-flash-preview-09-2025,Gemini 2.5 Flash Preview 09-2025,40,"Gemini 2.5 Flash Preview September 2025 Checkpoint is Google's state-of-the-art workhorse model, specifically designed for advanced reasoning, coding, mathematics, and scientific tasks.","[""tools"",""tool_choice"",""reasoning""]",1048576,300000,2500000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:41.142489+00,,,,
17,11,google/gemini-2.5-flash-lite-preview-09-2025,gemini-2.5-flash-lite-preview-09-2025,Gemini 2.5 Flash Lite Preview 09-2025,50,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra-low latency and cost efficiency.","[""tools"",""tool_choice"",""reasoning""]",1048576,100000,400000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:39.4934+00,,,,
19,11,google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,70,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra-low latency and cost efficiency.","[""tools"",""tool_choice"",""reasoning""]",1048576,100000,400000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:33.824203+00,,,,
20,11,google/gemini-2.5-flash,gemini-2.5-flash,Gemini 2.5 Flash,80,"Gemini 2.5 Flash is Google's state-of-the-art workhorse model, specifically designed for advanced reasoning, coding, mathematics, and scientific tasks.","[""tools"",""tool_choice"",""reasoning""]",1048576,300000,2500000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:31.609283+00,,,,
21,11,google/gemini-2.5-pro,gemini-2.5-pro,Gemini 2.5 Pro,90,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathematics, and scientific tasks.","[""tools"",""tool_choice"",""reasoning""]",1048576,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:29.262299+00,,,,
22,11,google/gemini-2.5-pro-preview,gemini-2.5-pro-preview,Gemini 2.5 Pro Preview 06-05,100,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathematics, and scientific tasks.","[""tools"",""tool_choice"",""reasoning""]",1048576,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:26.414136+00,,,,
23,11,google/gemini-2.5-pro-preview-05-06,gemini-2.5-pro-preview-05-06,Gemini 2.5 Pro Preview 05-06,110,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathematics, and scientific tasks.","[""tools"",""tool_choice"",""reasoning""]",1048576,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:24.035304+00,,,,
26,11,google/gemma-3-27b-it:free,gemma-3-27b-it:free,Gemma 3 27B (free),140,"Gemma 3 introduces multimodality, supporting vision-language input and text outputs.","[""tools"",""tool_choice""]",131072,0,0,0,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:16.786825+00,,,,
27,11,google/gemma-3-27b-it,gemma-3-27b-it,Gemma 3 27B,150,"Gemma 3 introduces multimodality, supporting vision-language input and text outputs.","[""tools"",""tool_choice""]",131072,36000,64000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:14.317821+00,,,,
28,11,google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,Gemini 2.0 Flash Lite,160,"Gemini 2.0 Flash Lite offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 1.5](/google/gemini-flash-1.5), while maintaining quality on par with larger models like [Gemini Pro 1.5](/google/gemini-pro-1.5), all at extremely economical token prices.","[""tools"",""tool_choice""]",1048576,75000,300000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:11.852285+00,,,,
29,11,google/gemini-2.0-flash-001,gemini-2.0-flash-001,Gemini 2.0 Flash,170,"Gemini Flash 2.0 offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 1.5](/google/gemini-flash-1.5), while maintaining quality on par with larger models like [Gemini Pro 1.5](/google/gemini-pro-1.5).","[""tools"",""tool_choice""]",1048576,100000,400000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:59:09.503859+00,,,,
33,2,allenai/olmo-3-7b-instruct,olmo-3-7b-instruct,Olmo 3 7B Instruct,20,"Olmo 3 7B Instruct is a supervised instruction-fine-tuned variant of the Olmo 3 7B base model, optimized for instruction-following, question-answering, and natural conversational dialogue.","[""tools"",""tool_choice""]",65536,100000,200000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:58.739315+00,,,,
35,23,nvidia/nemotron-3-nano-30b-a3b,nemotron-3-nano-30b-a3b,Nemotron 3 Nano 30B A3B,0,"NVIDIA Nemotron 3 Nano 30B A3B is a small language MoE model with highest compute efficiency and accuracy for developers to build specialized agentic AI systems.

The model is fully open with open-weights, datasets and recipes so developers can easily
customize, optimize, and deploy the model on their infrastructure for maximum privacy and
security.

Note: For the free endpoint, all prompts and output are logged to improve the provider's model and its product and services.","[""tools"",""tool_choice"",""reasoning""]",262144,60000,240000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:53.488551+00,,,,
